word,length,frequency
മുമ്പൊരിക്കൽ,12,1
പറഞ്ഞത്,7,16
ഞാൻ,3,12
ഇന്ന്,5,19
എന്താണോ,7,1
അതിന്,5,11
എന്റെ,5,12
മാതാപിതാക്കളോട്,15,1
കടപ്പെട്ടിരിക്കുന്നു,20,1
എനിക്ക്,7,14
നേരത്തെ,7,6
എഴുന്നേൽക്കുകയും,16,1
എനിക്കുവേണ്ടി,13,2
ഭക്ഷണം,6,3
തയ്യാറാക്കുകയും,15,1
ചെയ്യുമായിരുന്നു,16,1
രാത്രി,6,3
മണിക്ക്,7,5
ഉറങ്ങി,6,1
എഴുന്നേൽക്കും,13,2
അവർ,3,6
മാത്രമേ,7,19
ഉറങ്ങുമായിരുന്നുള്ളൂ,20,1
പറഞ്ഞു,6,73
അദ്ദേഹത്തിന്റെ,14,20
ഉപേക്ഷിച്ചു,11,1
ഇപ്പോൾ,6,12
ജ്യേഷ്ഠനാണ്,11,1
നോക്കുന്നത്,11,2
ഞങ്ങൾ,5,5
വളരെ,4,19
ബുദ്ധിമുട്ടിലായിരുന്നു,22,1
എന്നെ,5,5
പിന്തുണച്ചു,11,1
നേടാൻ,5,2
കഴിയുമെന്ന്,11,3
നേടിയ,5,37
വിജയത്തിന്,10,7
കാരണം,5,17
മാതാപിതാക്കളാണ്,15,1
കൂട്ടിച്ചേർത്തു,15,8
പ്ലേ,4,2
ഓഫ്,3,17
കാണാതെ,6,1
പുറത്തായെങ്കിലും,16,2
രാജസ്ഥാന്,9,4
റോയല്സ്,7,1
ലോകത്തെയൊന്നടങ്കം,17,1
കോരിത്തരിപ്പിച്ചാണ്,19,1
മടങ്ങിയത്,9,5
പതിന്നാലുവയസ്,13,1
മാത്രമുള്ള,10,2
തകര്പ്പന്,9,7
പ്രകടനമാണ്,10,2
കാഴ്ചവെച്ചത്,12,2
സെഞ്ചുറിയും,11,7
പ്രകടനങ്ങളും,12,1
വണ്ടര്കിഡ്,10,1
ഐപിഎല്,6,2
ചരിത്രം,7,12
തിരുത്തിയെഴുതി,14,1
ഗുജറാത്ത്,9,6
ടൈറ്റന്സിനെതിരായ,16,3
കുറിച്ച,7,4
സിക്സും,7,4
ഏഴു,3,11
ഫോറുമുള്പ്പെടെ,14,2
റണ്സടിച്ച,9,3
ശേഷമാണ്,7,6
പുറത്തായത്,10,9
ടി,2,23
ക്രിക്കറ്റിലും,14,2
പ്രായംകുറഞ്ഞ,12,5
റെക്കോഡും,9,4
വയസും,5,2
ദിവസും,6,2
മാത്രം,6,102
പ്രായമുള്ള,10,1
ലിറ്റില്,8,1
സൂപ്പര്,7,5
സ്റ്റാര്,8,2
സെഞ്ചുറിയെന്ന,13,2
വെറും,5,12
മൂന്നാമത്തെ,11,3
സ്വന്തം,7,21
പേരിലാക്കി,10,2
ഐപിഎല്ലിലെ,10,7
സെഞ്ചുറിയുമായിരുന്നു,20,1
ഇത്,3,35
ബിഹാറിലെ,8,3
സമസ്തിപൂർ,9,1
ജില്ലയിലാണ്,11,2
സൂര്യവംശിയുടെ,13,4
ജനനം,4,2
നാലാം,5,22
വയസ്സിൽ,7,5
കളിതുടങ്ങി,10,1
പിതാവ്,6,1
തന്നെയായിരുന്നു,15,6
പരിശീലകൻ,8,2
ഒമ്പതാം,7,2
നാട്ടിലെ,8,1
അക്കാദമിയിൽ,11,2
ചേർന്നു,7,1
പിന്നീടുള്ള,11,1
വളർച്ച,6,1
പ്രായത്തെ,9,1
കവച്ചുവെക്കുന്നതായിരുന്നു,25,1
ഐപിഎൽ,5,2
ടീമുമായി,8,2
കരാറിലെത്തുന്ന,14,1
സൂര്യവംശിയെ,11,2
കോടി,4,12
രൂപയ്ക്കാണ്,11,1
രാജസ്ഥാൻ,8,4
റോയൽസ്,6,2
ടീമിലെത്തിച്ചത്,15,2
കൂടുതല്,7,67
കായിക,5,38
വാര്ത്തകള്ക്കും,15,33
ഫീച്ചറുകള്ക്കുമായി,18,33
വാട്ട്സ്ആപ്പ്,13,33
ഗ്രൂപ്പില്,10,33
ജോയിന്,6,33
ചെയ്യൂ,6,33
വാര്ത്തകളോടു,12,49
പ്രതികരിക്കുന്നവര്,18,49
അശ്ലീലവും,9,49
അസഭ്യവും,8,49
നിയമവിരുദ്ധവും,14,49
അപകീര്ത്തികരവും,15,49
സ്പര്ധ,6,49
വളര്ത്തുന്നതുമായ,16,49
പരാമര്ശങ്ങള്,12,51
ഒഴിവാക്കുക,10,99
വ്യക്തിപരമായ,12,52
അധിക്ഷേപങ്ങള്,13,49
പാടില്ല,7,51
ഇത്തരം,6,59
അഭിപ്രായങ്ങള്,13,101
സൈബര്,5,51
നിയമപ്രകാരം,11,53
ശിക്ഷാര്ഹമാണ്,13,49
വായനക്കാരുടെ,12,50
വായനക്കാരുടേതു,14,49
മാതൃഭൂമിയുടേതല്ല,16,49
ദയവായി,6,50
മലയാളത്തിലോ,11,49
ഇംഗ്ലീഷിലോ,10,49
അഭിപ്രായം,9,55
എഴുതുക,6,49
മംഗ്ലീഷ്,8,49
മുഹമ്മദ്,8,18
സിറാജ്,6,10
ബർമിങാം,7,1
ഇതുവരെ,6,15
ജയിച്ചിട്ടില്ലാത്ത,18,1
എഡ്ജ്ബാസ്റ്റണിലെ,16,1
മൈതാനത്ത്,9,7
ഇന്ത്യൻ,7,36
ടീമിന്,6,8
ടെസ്റ്റ്,8,43
ജയം,3,18
സ്വപ്നം,7,3
കാണാം,5,8
രണ്ടാമിന്നിങ്സിൽ,16,6
സെഞ്ചുറിയോടെ,12,2
ക്യാപ്റ്റൻ,10,10
ശുഭ്മാൻ,7,7
ഗിൽ,3,15
മുന്നിൽനിന്ന്,13,1
നയിക്കുകയും,11,1
മറ്റ്,5,8
ബാറ്റർമാർ,9,2
പിന്തുണ,7,8
നൽകുകയും,8,1
ചെയ്തപ്പോൾ,10,1
രണ്ടാംക്രിക്കറ്റ്,17,1
ടെസ്റ്റിൽ,9,8
ഇംഗ്ലണ്ടിന്,11,10
കൂറ്റൻ,6,6
വിജയലക്ഷ്യമൊരുക്കി,18,1
റൺസാണ്,6,5
ആതിഥേയർക്ക്,11,1
ജയിക്കാൻ,8,8
വേണ്ടത്,7,8
ലക്ഷ്യവുമായി,12,2
രണ്ടാമിന്നിങ്സ്,15,4
ആരംഭിച്ച,8,4
പതറുകയാണ്,9,2
നാലാംദിവസം,10,2
കളി,3,14
അവസാനിക്കുമ്പോൾ,16,2
വിക്കറ്റ്,9,30
നഷ്ടത്തിൽ,9,5
റൺസെന്ന,7,4
നിലയിലാണ്,9,7
ബെൻ,3,10
ഡെക്കറ്റ്,9,3
സാക്,4,4
ക്രോളി,6,2
പൂജ്യം,6,4
ജോ,2,9
റൂട്ട്,6,7
ആറ്,3,10
എന്നിവർ,7,14
പുറത്തായി,9,15
ഒലി,3,6
പോപ്പ്,6,3
ഹാരി,4,10
ബ്രൂക്,6,2
എന്നിവരാണ്,10,5
ക്രീസിൽ,7,2
ആകാശ്,5,22
ദീപ്,4,8
രണ്ടും,6,6
ഒന്നും,6,8
വീഴ്ത്തി,8,12
ഒന്നാമിന്നിങ്സിൽ,16,2
റൺസ്,4,17
ലീഡ്,4,23
ഇന്ത്യ,6,103
വിക്കറ്റിന്,11,2
റൺസെടുത്ത്,10,4
ഡിക്ലയർ,7,3
ചെയ്തു,6,41
ഇന്നിങ്സിൽ,10,18
ഇരട്ട,5,6
നേടിയിരുന്ന,11,2
റൺസടിച്ചു,9,2
രവീന്ദ്ര,8,11
ജഡേജ,4,10
പന്ത്,5,17
കെ,2,58
രാഹുൽ,5,5
അർധസെഞ്ചുറികളുമായി,18,2
തിളങ്ങി,7,4
കരുൺ,4,3
നായർ,4,3
റൺസിന്,6,3
ഇതോടെയാണ്,9,5
ഇന്ത്യയ്ക്ക്,12,16
മൊത്തം,6,4
ലഭിച്ചത്,8,5
സ്കോർ,5,9
ആറിന്,5,2
ഡിക്ല,5,1
ബര്മിങ്ങാം,10,9
ലോകത്തെ,7,7
വേദികളില്,9,5
ജയങ്ങള്,7,2
സ്വന്തമാക്കിയതിന്റെ,19,1
റെക്കോഡ്,8,7
നിലവില്,7,11
ടീം,3,32
പേരിലാണ്,8,3
ആകെ,3,6
ഇക്കാലത്തിനിടയ്ക്ക്,19,2
സ്വന്തമാക്കിയിട്ടുണ്ട്,22,1
അക്കൂട്ടത്തില്,14,2
പിടിതരാത്ത,10,1
മൈതാനമാണ്,9,1
എജ്ബാസ്റ്റണ്,12,5
ഇത്തവണ,6,10
അവിടെ,5,13
വിജയത്തിന്റെ,12,5
വക്കിലാണ്,9,2
മുതല്,5,18
എജ്ബാസ്റ്റണില്,14,10
കളിക്കുന്നുണ്ട്,15,3
ആ,1,97
വര്ഷത്തിനിടെ,12,3
എട്ടു,5,4
ടെസ്റ്റുകള്,11,6
കളിച്ചിട്ടും,12,2
ഇവിടെ,5,12
ഇന്ത്യക്ക്,10,8
മത്സരം,6,31
പോലും,5,41
വിജയിക്കാന്,11,2
സാധിച്ചിട്ടില്ല,15,4
തിരുത്താനുള്ള,13,1
ഒരുക്കത്തിലാണ്,14,1
ശുഭ്മാന്,8,8
ഗില്ലും,7,6
സംഘവും,6,8
ബാര്ബഡോസിലെ,11,1
കെന്സിങ്ടണ്,11,1
ഓവല്,4,3
ജയമില്ലാതെ,10,1
കളിച്ചിട്ടുള്ള,14,1
വേദി,4,3
തോറ്റപ്പോള്,11,1
എണ്ണം,5,5
സമനിലയിലായി,11,1
ജയിക്കാനായാല്,13,1
ജയിക്കുന്ന,10,2
ാമത്തെ,6,2
വേദിയായി,8,2
മാറും,5,3
നേട്ടം,6,14
സ്വന്തമാക്കുന്ന,15,2
ടീമും,5,1
ജയിച്ച,6,5
ഓസ്ട്രേലിയയാണ്,14,1
ഇക്കാര്യത്തില്,14,9
പിന്നിലുള്ളത്,13,2
സ്ഥാനത്തുണ്ട്,13,1
ലാണ്,4,6
ആദ്യമായി,8,7
കളിക്കുന്നത്,12,3
അന്നു,5,6
വ്യത്യസ്ത,9,3
കളിച്ച,6,9
ഇടങ്ങളില്,9,1
എങ്കിലും,8,9
ജയിച്ചിട്ടുണ്ട്,15,1
നാട്ടില്,8,1
വേദികളിലാണ്,11,1
ജയിച്ചിട്ടുള്ളത്,16,1
അതില്,5,13
വിജയങ്ങള്,9,3
ചെന്നൈയിലെ,10,1
എംഎ,3,1
ചിദംബരം,7,1
സ്റ്റേഡിയത്തിലാണ്,17,1
നും,3,2
ഇടയില്,6,1
നാല്,4,16
ഓസ്ട്രേലിയയിലെ,14,1
മെല്ബണ്,7,1
ഗ്രൗണ്ട്,8,3
വിജയകരമായ,9,1
വിദേശ,5,5
തുടരുന്നു,9,2
ഇംഗ്ലണ്ടില്,11,2
ലോര്ഡ്സാണ്,10,1
തോല്വി,6,5
നേരിട്ട,7,6
വേദിയും,7,1
ലോര്ഡ്സ്,8,1
സഗ്രബ്,6,1
ക്രൊയേഷ്യ,9,1
ഗ്രാൻഡ്,7,2
ചെസ്സ്,6,1
ടൂറിലെ,6,1
ബ്ലിറ്റ്സ്,10,2
ലണ്ടൻ,5,5
വിംബിൾഡൺ,8,1
ടെന്നീസ്,8,2
ടൂർണമെന്റിൽ,11,3
വൻ,2,4
അട്ടിമറി,8,1
ന്യൂഡൽഹി,8,12
ലോക,3,18
ഒന്നാം,6,25
നമ്പർ,5,3
ചെസ്,4,7
മാഗ്നസ്,7,3
കാൾസനെ,6,4
തൃശൂർ,5,3
കേരള,4,47
ബാസ്കറ്റ്ബോൾ,12,3
അസോസിയേഷൻ,9,3
പ്രസിഡന്റായി,12,3
ബെർലിൻ,6,1
കരുത്തനായ,9,1
നോർവേയുടെ,9,1
ദുബായ്,6,2
യുഎഇ,4,1
ഗ്രാൻപ്രീ,9,1
അത്ലറ്റിക്സിൽ,13,1
ബാസ്ക്കറ്റ്ബോൾ,14,1
ഫെഡറേഷൻ,7,5
ബിഎഫ്ഐ,6,1
ഉത്തേജക,7,1
മരുന്ന്,7,1
പരിശോധനയിൽ,10,1
പരാജയപ്പെട്ട,12,3
ബെംഗളൂരു,8,5
ദേശീയ,5,31
സീനിയർ,6,4
ചാമ്പ്യൻഷിപ്പ്,14,1
പ്രഥമ,5,3
വനിതാ,5,9
ഖോ,2,2
ലോകകപ്പ്,8,15
ചെന്നൈ,6,9
ലോകചാമ്പ്യന്,12,1
നാടിന്റെ,8,2
സ്വീകരണം,8,1
സിംഗപ്പുരിൽ,11,1
പന്തിന്റെ,9,4
കൈയ്യിൽ,7,2
ബാറ്റ്,6,4
തെറിച്ചപ്പോൾ,12,1
ഡക്കറ്റ്,8,4
ക്യാച്ചെടുക്കുന്നു,18,1
ബർമിങ്ങാം,9,8
മുന്നിൽ,7,10
റൺസിന്റെ,8,4
വിജയലക്ഷ്യമാണ്,14,1
ഉയർത്തിയത്,10,1
ദിനം,4,13
കളിയവസാനിക്കുമ്പോൾ,18,1
ഒരുദിനം,7,2
ബാക്കിനിൽക്കേ,13,1
ഏഴ്,3,6
വിക്കറ്റുകൾ,11,9
കൂടി,4,21
പിഴുതാൽ,7,1
ജയിക്കാം,8,1
റൺസെടുത്തപ്പോൾ,14,1
അർധസെഞ്ചുറിയും,14,1
തികച്ചു,7,1
കീപ്പർ,6,3
ബാറ്റർ,6,1
റൺസെടുത്താണ്,12,2
പുറത്താകലാണ്,12,1
സാമൂഹികമാധ്യമങ്ങളിൽ,19,3
വൈറലാകുന്നത്,12,1
അടിച്ചുകളിച്ച,13,1
ഷൊയ്ബ്,6,1
ബാഷിറിന്റെ,10,2
പുറത്താവുന്നത്,14,1
പന്തിൽ,6,15
കൂറ്റനടിക്ക്,12,2
ശ്രമിക്കുന്നതിനിടെ,18,1
ബാറ്റും,7,1
തെറിച്ചു,8,1
പന്താകട്ടെ,10,1
ഡെക്കറ്റിന്റെ,13,1
കൈകളിലെത്തി,11,1
പുറത്താവുകയും,13,1
ഇതിന്റെ,7,10
ദൃശ്യങ്ങൾ,9,3
വൈറലായി,7,1
മത്സരത്തിനിടെ,13,5
പലതവണ,5,2
കയ്യിൽ,6,4
തെറിച്ചുപോയിരുന്നു,18,1
ക്രിക്കറ്റും,12,2
പങ്കുവെച്ചിട്ടുണ്ട്,19,3
എഡ്ജ്ബാസ്റ്റണിൽ,15,4
ആയിട്ടില്ല,10,1
ഗില്ലിനും,9,1
സംഘത്തിനും,10,1
ആദ്യജയമെന്ന,11,1
സ്വന്തമാകുമോയെന്നാണ്,20,1
ആകാംക്ഷയോടെ,11,1
നോക്കിയിരിക്കുന്നത്,19,1
എട്ട്,5,5
ടെസ്റ്റുകളിൽ,12,1
ഏഴിലും,6,1
തോറ്റു,6,4
ൽ,1,32
സമനില,5,3
വലിയ,4,55
വേദിയിൽ,7,1
ആദ്യം,5,11
മത്സരത്തിലെ,11,4
റൺസിനാണ്,8,1
